biosample_accession,sample_id
SAMN10844489,CM01_S34
SAMN10844490,CM02_S42
SAMN10844491,CM03_S50
SAMN10844492,CM04_S58
SAMN10844493,CR02_S35
SAMN10844494,CR04_S43
SAMN10844495,CR05_S51
SAMN10844496,CR06_S59
SAMN10844497,CR08_S36
SAMN10844498,CR10_S44
SAMN10844499,CR12_S52
SAMN10844500,CR13_S60
SAMN10844501,CR16_S37
SAMN10844502,CR17_S45
SAMN10844503,CR18_S53
SAMN10844504,CR23_S61
SAMN10844505,DVC02_S38
SAMN10844506,DVC05_S46
SAMN10844507,DVC09_S54
SAMN10844508,DVC12_S62
SAMN10844509,DVC14_S39
SAMN10844510,DVC19_S47
SAMN10844511,DVC21_S55
SAMN10844512,DVC24_S63
SAMN10844513,DVC29_S40
SAMN10844514,UT06_S48
SAMN10844515,UT07_S56
SAMN10844516,UT11_S64
SAMN10844517,ALL02_S41
SAMN10844518,CB07_S49
SAMN10844519,CG19_S57
SAMN10844520,CU11_S65
SAMN10844521,CU15_S66
SAMN10844522,CU20_S74
SAMN10844523,CU24_S82
SAMN10844524,GB08_S90
SAMN10844525,GB36_S67
SAMN10844526,GB42_S75
SAMN10844527,GB50_S83
SAMN10844528,MR21_S91
SAMN10844529,GP01_S68
SAMN10844530,GP02_S76
SAMN10844531,GP03_S84
SAMN10844532,GP04_S92
SAMN10844533,GP07_S77
SAMN10844534,GP11_S85
SAMN10844535,GP12_S93
SAMN10844536,GP16_S78
SAMN10844537,GP17_S86
SAMN10844538,GP20_S94
SAMN10844539,DYC13_S80
SAMN10844540,DYC14_S88
SAMN10844541,DYC16_S96
SAMN10844542,DYC21_S73
SAMN10844543,DYC32_S81
SAMN10844544,DYC35_S89
SAMN10844545,DYC39_S97
SAMN10844546,IS06_S79
SAMN10844547,IS10_S87
SAMN10844548,IS11_S95
